[18-Jan-2021 01:00:20 Asia/Kolkata] PHP Notice:  Undefined index: categoryId in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 5
[18-Jan-2021 01:00:20 Asia/Kolkata] PHP Notice:  Undefined index: categoryName in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 6
[18-Jan-2021 01:00:20 Asia/Kolkata] PHP Notice:  Undefined index: categoryImage in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 7
[18-Jan-2021 01:00:20 Asia/Kolkata] PHP Notice:  Undefined index: singleItemPrice in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 8
[18-Jan-2021 01:00:20 Asia/Kolkata] PHP Notice:  Undefined index: description in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 9
[18-Jan-2021 01:00:20 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 14
[18-Jan-2021 01:00:20 Asia/Kolkata] PHP Notice:  Undefined variable: insert in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 15
[18-Jan-2021 01:00:20 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 20
[18-Jan-2021 01:00:29 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 14
[18-Jan-2021 01:00:29 Asia/Kolkata] PHP Notice:  Undefined variable: insert in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 15
[18-Jan-2021 01:00:29 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 20
[18-Jan-2021 01:01:48 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 14
[18-Jan-2021 01:01:48 Asia/Kolkata] PHP Notice:  Undefined variable: insert in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 15
[18-Jan-2021 01:01:48 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 20
[18-Jan-2021 16:38:39 Asia/Kolkata] PHP Notice:  Undefined index: categoryImage in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 6
[18-Jan-2021 16:38:39 Asia/Kolkata] PHP Notice:  Undefined index: createdAt in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 9
[18-Jan-2021 16:38:39 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 13
[18-Jan-2021 16:38:39 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 15
[18-Jan-2021 16:39:56 Asia/Kolkata] PHP Notice:  Undefined index: categoryId in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 5
[18-Jan-2021 16:39:56 Asia/Kolkata] PHP Notice:  Undefined index: categoryImage in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 7
[18-Jan-2021 16:39:56 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 14
[18-Jan-2021 16:39:56 Asia/Kolkata] PHP Notice:  Undefined variable: insert in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 15
[18-Jan-2021 16:39:56 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 20
[18-Jan-2021 16:39:58 Asia/Kolkata] PHP Notice:  Undefined index: categoryId in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 5
[18-Jan-2021 16:39:58 Asia/Kolkata] PHP Notice:  Undefined index: categoryImage in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 7
[18-Jan-2021 16:39:58 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 14
[18-Jan-2021 16:39:58 Asia/Kolkata] PHP Notice:  Undefined variable: insert in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 15
[18-Jan-2021 16:39:58 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 20
[18-Jan-2021 21:50:25 Asia/Kolkata] PHP Notice:  Undefined index: categoryImage in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 6
[18-Jan-2021 21:50:25 Asia/Kolkata] PHP Notice:  Undefined index: createdAt in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 9
[18-Jan-2021 21:50:25 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 13
[18-Jan-2021 21:50:25 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 19
[18-Jan-2021 21:55:07 Asia/Kolkata] PHP Notice:  Undefined index: categoryImage in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 6
[18-Jan-2021 21:55:07 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 12
[18-Jan-2021 21:55:07 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 14
[18-Jan-2021 22:09:38 Asia/Kolkata] PHP Notice:  Undefined index: categoryId in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 5
[18-Jan-2021 22:09:38 Asia/Kolkata] PHP Notice:  Undefined index: categoryImage in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 7
[18-Jan-2021 22:09:38 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 14
[18-Jan-2021 22:09:38 Asia/Kolkata] PHP Notice:  Undefined variable: insert in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 15
[18-Jan-2021 22:09:38 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 20
[18-Jan-2021 22:11:03 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 14
[18-Jan-2021 22:11:03 Asia/Kolkata] PHP Notice:  Undefined variable: insert in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 15
[18-Jan-2021 22:11:03 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/edit-api.php on line 20
[18-Jan-2021 22:13:50 Asia/Kolkata] PHP Notice:  Undefined index: categoryImage in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 6
[18-Jan-2021 22:13:50 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 12
[18-Jan-2021 22:13:50 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/category/api/add-api.php on line 14
[18-Jan-2021 22:30:29 Asia/Kolkata] PHP Notice:  Undefined index: image in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/offer/api/add-api.php on line 6
[18-Jan-2021 22:30:29 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/offer/api/add-api.php on line 12
[18-Jan-2021 22:30:29 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/offer/api/add-api.php on line 14
[18-Jan-2021 22:33:39 Asia/Kolkata] PHP Notice:  Undefined index: image in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/offer/api/add-api.php on line 6
[18-Jan-2021 22:33:39 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/offer/api/add-api.php on line 34
[18-Jan-2021 22:33:39 Asia/Kolkata] PHP Warning:  Creating default object from empty value in /home/fireonli/domains/skfs.in/public_html/thadi/admin_thadi/offer/api/add-api.php on line 36
